Suffix ्यातील not at position 4, 10, of wordform अगर्‍यातील, af: ['अगरा', 'n', '', '', '', '', '्यातील', '्यातील']
Suffix व not at position 3, 4, of wordform पावसाच्या, af: ['पाऊस', 'n', 'm', 'sg', '', 'o', 'च्या', 'व_ा_च्या']
Suffix व not at position 3, 4, of wordform पावसानंतर, af: ['पाऊस', 'n', 'm', 'sg', '', 'o', 'नंतर', 'व_ा_नंतर']
Suffix व not at position 3, 4, of wordform पावसापासून, af: ['पाऊस', 'n', 'm', 'sg', '', 'o', 'पासून', 'व_ा_पासून']
Suffix व not at position 3, 4, of wordform पावसामुळे, af: ['पाऊस', 'n', 'm', 'sg', '', 'o', 'मुळे', 'व_ा_मुळे']
Suffix व not at position 3, 4, of wordform पावसावर, af: ['पाऊस', 'n', 'm', 'sg', '', 'o', 'वर', 'व_ा_वर']
Suffix सारखे not at position 7, 12, of wordform पाहण्यासारखी, af: ['पाह', 'v', 'n', 'sg', '', 'o', 'सारखे', 'ण्या_सारखे']
Suffix ण्या not at position 8, 12, of wordform पाहण्यासारखी, af: ['पाह', 'v', 'n', 'sg', '', 'o', 'सारखे', 'ण्या_सारखे']
Suffix o not at position 4, 5, of wordform पाहिल, af: ['p', 'c', 'पाह', 'v', '', 'sg', '3', 'o']
Suffix ल not at position 5, 6, of wordform पाहिली, af: ['पाह', 'v', 'f', 'sg', '1', '', 'ल', 'ि_ल']
Suffix ि not at position 5, 6, of wordform पाहिली, af: ['पाह', 'v', 'f', 'sg', '1', '', 'ल', 'ि_ल']
Suffix 3 not at position 5, 6, of wordform पाहिले, af: ['p', 'ak', 'pas', 'पाह', 'v', 'n', 'sg', '3']
Suffix ऊन not at position 4, 6, of wordform पिऊनही, af: ['kr', 'पि', 'v', '', '', '', '', 'ऊन']
Suffix 3 not at position 6, 7, of wordform पिकविले, af: ['p', 'pas', 'ak', 'पिकव', 'v', 'n', 'sg', '3']
Suffix चे not at position 7, 9, of wordform पिकांच्या, af: ['पिक', 'n', 'n', 'pl', '', 'o', 'चे', 'ां_चे']
Suffix ां not at position 7, 9, of wordform पिकांच्या, af: ['पिक', 'n', 'n', 'pl', '', 'o', 'चे', 'ां_चे']
Suffix े not at position 6, 7, of wordform पिके..., af: ['पीक', 'n', 'n', 'pl', '', 'o', 'े', 'ि_े']
Suffix ि not at position 6, 7, of wordform पिके..., af: ['पीक', 'n', 'n', 'pl', '', 'o', 'े', 'ि_े']
Suffix ्याची not at position 4, 9, of wordform पुण्या"ची, af: ['पुणे', 'n', 'n', 'sg', '', 'o', '्याची', '्याची']
Suffix बरोबरच not at position 8, 14, of wordform पुरस्कारारोबरच, af: ['पुरस्कार', 'n', 'm', 'sg', '', 'o', 'बरोबरच', 'ा_बरोबरच']
Suffix ा not at position 13, 14, of wordform पुरस्कारारोबरच, af: ['पुरस्कार', 'n', 'm', 'sg', '', 'o', 'बरोबरच', 'ा_बरोबरच']
Suffix ूा not at position 2, 4, of wordform पुरात, af: ['पुर', 'n', 'n', 'sg', '', 'o', 'त', 'ूा_त']
Suffix d not at position 6, 7, of wordform पोहोचणे, af: ['n_kr', 'kr', 'पोहोच', 'v', 'n', 'sg', '', 'd']
Suffix अंतर्गत not at position 7, 14, of wordform प्रकल्पांतर्गत, af: ['प्रकल्प', 'n', 'm', 'sg', '3', '', 'अंतर्गत', 'अंतर्गत']
Suffix ातर्फे not at position 8, 14, of wordform प्रकाशना'तर्फे, af: ['प्रकाशन', 'n', 'n', 'sg', '', 'o', '', 'ातर्फे']
Suffix ये not at position 8, 10, of wordform प्रक्रिये'साठी, af: ['प्रक्रिया', 'n', 'f', 'sg', '', '', 'साठी', 'ये_साठी']
Suffix ल not at position 10, 11, of wordform प्रत्येकाला, af: ['प्रत्येक', 'n', '', 'sg', '', 'o', 'ल', 'ा_ल']
Suffix च्या not at position 8, 12, of wordform प्रधानमंत्र्, af: ['प्रधानमंत्री', 'n', 'm', 'pl', '', 'o', 'च्या', 'ा_च्या']
Suffix ा not at position 11, 12, of wordform प्रधानमंत्र्, af: ['प्रधानमंत्री', 'n', 'm', 'pl', '', 'o', 'च्या', 'ा_च्या']
Suffix ा not at position 5, 6, of wordform प्रवीण, af: ['प्रवीण', 'n', '', '', '', '', 'ा', 'च_ा']
Suffix च not at position 5, 6, of wordform प्रवीण, af: ['प्रवीण', 'n', '', '', '', '', 'ा', 'च_ा']
Suffix च्या not at position 8, 12, of wordform प्रवेशद्वारामध्ये, af: ['प्रवेशद्वार', 'n', 'n', 'sg', '', 'o', 'मध्ये', 'ा_च्या_मध्ये']
Suffix ं not at position 11, 12, of wordform प्रवेशद्वारे, af: ['प्रवेशद्वार', 'n', 'n', 'pl', '', 'd', '', 'ं']
Suffix ची not at position 7, 9, of wordform प्राधिकरण, af: ['प्राधिकरण', 'n', 'n', 'sg', '', 'o', 'ची', 'ा_ची']
Suffix ा not at position 8, 9, of wordform प्राधिकरण, af: ['प्राधिकरण', 'n', 'n', 'sg', '', 'o', 'ची', 'ा_ची']
Suffix o not at position 8, 9, of wordform फिरण्याचा, af: ['n_kr', 'kr', 'फिर', 'v', 'n', 'sg', '', 'o']
Suffix 3 not at position 5, 6, of wordform फिरवली, af: ['p', 'ak', 'pas', 'फिरव', 'v', 'f', 'sg', '3']
Suffix ूल not at position 1, 3, of wordform फुल, af: ['फूल', 'n', 'n', 'pl', '', 'o', 'ूल', 'ूल']
Suffix 3 not at position 4, 5, of wordform फेकते, af: ['p', 'pas', 'c', 'फेक', 'v', 'n', 'sg', '3']
Suffix 3 not at position 5, 6, of wordform फोडतात, af: ['h', 'ak', 'pre', 'फोड', 'v', 'n', 'pl', '3']
Suffix च्या not at position 4, 8, of wordform बगीच्यांमध्ये, af: ['बगीचा', 'n', 'm', 'pl', '', 'o', 'मध्ये', '्यां_च्या_मध्ये']
Suffix 3 not at position 5, 6, of wordform बजावते, af: ['h', 'ak', 'pre', 'बजाव', 'v', 'f', 'sg', '3']
Suffix pl not at position 5, 7, of wordform बदलत्या, af: ['p', 'c', 'ak', 'pas', 'बदल', 'v', 'n', 'pl']
Suffix 3 not at position 3, 4, of wordform बनते, af: ['h', 'ak', 'pre', 'बन', 'v', 'n', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform बनले, af: ['p', 'ak', 'pas', 'बन', 'v', 'n', 'sg', '3']
Suffix o not at position 10, 11, of wordform बनवण्याच्या, af: ['n_kr', 'kr', 'बनव', 'v', 'n', 'sg', '', 'o']
Suffix िले not at position 3, 6, of wordform बनविली, af: ['बनव', 'v', 'n', 'sg', '3', '', 'िले', 'िले']
Suffix ा not at position 3, 4, of wordform बरीच, af: ['वर्म', 'n', 'n', 'sg', '', 'o', 'ा', 'ा']
Suffix d not at position 5, 6, of wordform बसलेला, af: ['kr', 'l_kr', 'बस', 'v', 'm', 'sg', '', 'd']
Suffix d not at position 6, 7, of wordform बहरलेला, af: ['l_kr', 'kr', 'बहर', 'v', 'm', 'sg', '', 'd']
Suffix o not at position 9, 10, of wordform बांधण्याची, af: ['n_kr', 'kr', 'बांध', 'v', 'n', 'sg', '', 'o']
Suffix 3 not at position 4, 5, of wordform बांधल, af: ['p', 'pas', 'c', 'बांध', 'v', 'm', 'sg', '3']
Suffix d not at position 7, 8, of wordform बांधलेला, af: ['l_kr', 'kr', 'बांध', 'v', 'm', 'sg', '', 'd']
Suffix समोर not at position 5, 9, of wordform बाबांच्या, af: ['बाबा', 'n', 'm', 'pl', '', 'o', 'समोर', 'ं_च्या_समोर']
Suffix को not at position 3, 5, of wordform बायका, af: ['बाई', 'n', 'f', 'pl', '', 'o', 'को', 'य_को']
Suffix य not at position 4, 5, of wordform बायका, af: ['बाई', 'n', 'f', 'pl', '', 'o', 'को', 'य_को']
Suffix ून not at position 5, 7, of wordform बाहेरुन, af: ['बाहेर', 'nst', '', '', '', '', 'ून', 'ून']
Suffix ाःच्या not at position 12, 18, of wordform बिजोत्पादनाच्1.7या, af: ['बिजोत्पादन', 'n', 'n', '', '', 'o', 'च्या', 'ाःच्या']
Suffix मध्ये not at position 7, 12, of wordform बुंदेलखंडाचा, af: ['बुंदेलखंड', 'n', 'm', 'sg', '', 'o', 'मध्ये', 'ा_मध्ये']
Suffix च्या not at position 0, 4, of wordform बेटाजवळ, af: ['बेट', 'n', 'n', 'sg', '', 'o', 'जवळ', 'ा_च्या_जवळ']
Suffix ता not at position -1, 1, of wordform -, af: ['वाज', 'v', '', '', '', '', 'ता', 'ता']
Suffix ं not at position 0, 1, of wordform -, af: ['ak', 'हव', 'v', 'n', 'sg', '3', '', 'ं']
Suffix d not at position 6, 7, of wordform भाजलेला, af: ['l_kr', 'kr', 'भाज', 'v', 'm', 'sg', '', 'd']
Suffix च्य not at position 6, 9, of wordform भारताच्या, af: ['भारत', 'n', 'm', 'sg', '', 'o', 'च्या', 'ा_च्य']
Suffix च्या not at position 6, 10, of wordform भारताविषयी, af: ['भारत', 'n', 'm', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix ा not at position 9, 10, of wordform भारताविषयी, af: ['भारत', 'n', 'm', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix d not at position 9, 10, of wordform भिजवण्याचा, af: ['n_kr', 'kr', 'भिजव', 'v', '', 'sg', '', 'd']
Suffix m not at position 4, 5, of wordform भेटाव, af: ['भेट', 'v', '', '', '', '', 'व', 'm']
Suffix चे not at position 7, 9, of wordform भोजनाच्या, af: ['भोजन', 'n', 'n', 'sg', '', 'o', 'चे', 'ा_चे']
Suffix च्या not at position 2, 6, of wordform मंत्र्, af: ['मंत्री', 'n', 'm', 'pl', '', 'o', 'च्या', 'ा_च्या']
Suffix ा not at position 5, 6, of wordform मंत्र्, af: ['मंत्री', 'n', 'm', 'pl', '', 'o', 'च्या', 'ा_च्या']
Suffix च्या not at position 10, 14, of wordform मंदिराच्याआतून, af: ['मंदिर', 'n', 'n', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix ा not at position 13, 14, of wordform मंदिराच्याआतून, af: ['मंदिर', 'n', 'n', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix समोर not at position -3, 1, of wordform ., af: ['बाबा', 'n', 'm', 'pl', '', 'o', 'समोर', 'ं_च्या_समोर']
Suffix च्या not at position -3, 1, of wordform ., af: ['बाबा', 'n', 'm', 'pl', '', 'o', 'समोर', 'ं_च्या_समोर']
Suffix ं not at position 0, 1, of wordform ., af: ['बाबा', 'n', 'm', 'pl', '', 'o', 'समोर', 'ं_च्या_समोर']
Suffix ्यांवर not at position 5, 11, of wordform मकबर्‍यांवर, af: ['मकबरा', 'n', 'm', 'pl', '3', '', '्यांवर', '्यांवर']
Suffix ्यास not at position 5, 9, of wordform मकबर्‍यास, af: ['मकबरा', 'n', 'm', 'sg', '3', '', '्यास', '्यास']
Suffix चे not at position 1, 3, of wordform मळे, af: ['चहा', 'n', 'm', 'sg', '', 'o', 'चे', 'चे']
Suffix चे not at position 12, 14, of wordform महत्त्वाचेनेते, af: ['महत्त्व', 'n', 'n', 'sg', '', 'o', 'चे', 'ा_चे']
Suffix ा not at position 13, 14, of wordform महत्त्वाचेनेते, af: ['महत्त्व', 'n', 'n', 'sg', '', 'o', 'चे', 'ा_चे']
Suffix े not at position 9, 10, of wordform महापालिके'च्या, af: ['महापालिका', 'n', 'f', 'sg', '', 'o', 'च्या', 'े_च्या']
Suffix ावरुन not at position 4, 9, of wordform महालावरून, af: ['महाल', 'n', 'm', 'sg', '', 'o', '', 'ावरुन']
Suffix ाःझं not at position 0, 4, of wordform माझं, af: ['मी', 'pn', 'any', 'sg', '', 'o', 'झं', 'ाःझं']
Suffix ु not at position 1, 2, of wordform माझा, af: ['मी', 'pn', '', '', '', '', 'झा', 'ु_झा']
Suffix झ्या not at position 6, 10, of wordform माझ्याकडून, af: ['मी', 'pn', '', '', '', '', 'झ्या', 'ा_झ्या']
Suffix ा not at position 9, 10, of wordform माझ्याकडून, af: ['मी', 'pn', '', '', '', '', 'झ्या', 'ा_झ्या']
Suffix झ्या not at position 7, 11, of wordform माझ्याशिवाय, af: ['मी', 'pn', '', '', '', '', 'झ्या', 'ा_झ्या']
Suffix ा not at position 10, 11, of wordform माझ्याशिवाय, af: ['मी', 'pn', '', '', '', '', 'झ्या', 'ा_झ्या']
Suffix च्या not at position 2, 6, of wordform मातीची, af: ['माती', 'n', 'f', 'sg', '', 'o', 'च्या', 'च्या']
Suffix 3 not at position 5, 6, of wordform मानतात, af: ['h', 'ak', 'pre', 'मान', 'v', 'm', 'pl', '3']
Suffix ने not at position 8, 10, of wordform मानभंगानेच, af: ['मानभंग', 'n', 'm', 'sg', '', 'o', 'ने', 'ा_ने']
Suffix ा not at position 9, 10, of wordform मानभंगानेच, af: ['मानभंग', 'n', 'm', 'sg', '', 'o', 'ने', 'ा_ने']
Suffix ले not at position 3, 5, of wordform मानला, af: ['ak', 'मान', 'v', 'n', 'sg', '3', '', 'ले']
Suffix 3 not at position 4, 5, of wordform मानले, af: ['pas', 'ak', 'p', 'मान', 'v', 'n', 'sg', '3']
Suffix ा not at position 3, 4, of wordform मानवला, af: ['मानव', 'n', 'm', '', '', 'o', 'ला', 'ा_ला']
Suffix ला not at position 3, 5, of wordform मार्ग, af: ['मार्ग', 'n', 'm', 'sg', '', 'o', 'ला', 'ा_ला']
Suffix ा not at position 4, 5, of wordform मार्ग, af: ['मार्ग', 'n', 'm', 'sg', '', 'o', 'ला', 'ा_ला']
Suffix वरुन not at position 6, 10, of wordform मार्गावरून, af: ['मार्ग', 'n', 'm', 'sg', '', 'o', '', 'वरुन']
Suffix ाःच्या not at position 8, 14, of wordform माल्टीकरणाच्या, af: ['माल्टीकरण', 'n', 'n', 'sg', '', 'o', 'च्या', 'ाःच्या']
Suffix tn not at position 7, 9, of wordform मिळणाऱ्या, af: ['मिळ', 'v', '', '', '', 'o', 'णाऱ्या', 'tn']
Suffix tn not at position 7, 9, of wordform मिळणाऱ्या, af: ['मिळ', 'v', '', 'pl', '', 'o', 'णाऱ्या', 'tn']
Suffix 3 not at position 4, 5, of wordform मिळते, af: ['h', 'ak', 'pre', 'मिळ', 'v', 'n', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform मिळतो, af: ['h', 'ak', 'pre', 'मिळ', 'v', 'm', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform मिळतो, af: ['pre', 'ak', 'h', 'मिळ', 'v', 'm', 'sg', '3']
Suffix o not at position 14, 15, of wordform मिळवण्याविषयीचे, af: ['n_kr', 'kr', 'मिळव', 'v', 'n', 'sg', '', 'o']
Suffix kr not at position 9, 11, of wordform मिळविणाऱ्या, af: ['मिळव', 'v', '', 'pl', '', 'o', 'ि_णाऱ्या', 'kr']
Suffix 3 not at position 5, 6, of wordform मिळाला, af: ['p', 'ak', 'pas', 'मिळ', 'v', 'm', 'sg', '3']
Suffix 3 not at position 5, 6, of wordform मिळाली, af: ['p', 'ak', 'pas', 'मिळ', 'v', 'f', 'sg', '3']
Suffix 3 not at position 5, 6, of wordform मिळाले, af: ['p', 'ak', 'pas', 'मिळ', 'v', 'n', 'sg', '3']
Suffix 3 not at position 5, 6, of wordform मिळाले, af: ['p', 'pas', 'ak', 'मिळ', 'v', 'n', 'sg', '3']
Suffix 3 not at position 5, 6, of wordform मिसळले, af: ['p', 'ak', 'pas', 'मिसळ', 'v', 'n', 'sg', '3']
Suffix वर not at position 10, 12, of wordform मुन्नारमध्ये, af: ['मुन्नार', 'n', 'n', 'sg', '', 'o', 'वर', 'ा_वर']
Suffix ा not at position 11, 12, of wordform मुन्नारमध्ये, af: ['मुन्नार', 'n', 'n', 'sg', '', 'o', 'वर', 'ा_वर']
Suffix ु not at position 2, 3, of wordform मुलं, af: ['मूल', 'n', 'n', 'pl', '', 'd', 'ं', 'ु_ं']
Suffix ू not at position 1, 2, of wordform मुल, af: ['मुल', 'n', '', 'pl', '', 'o', 'ूल', 'ू_ल']
Suffix ना not at position 3, 5, of wordform मुलांबरोबर, af: ['मुल', 'n', '', 'pl', '', 'o', 'बरोबर', 'ां_ना_बरोबर']
Suffix च्या not at position 9, 13, of wordform मुलींच्यापैकी, af: ['मुलींच्यापैकी', 'n', 'f', 'sg', '', 'o', 'च्या', 'ं_च्या']
Suffix ं not at position 12, 13, of wordform मुलींच्यापैकी, af: ['मुलींच्यापैकी', 'n', 'f', 'sg', '', 'o', 'च्या', 'ं_च्या']
Suffix च्या not at position 5, 9, of wordform मुलींपैकी, af: ['मुलगी', 'n', 'f', 'sg', '', 'o', 'च्या', 'ं_च्या']
Suffix ं not at position 8, 9, of wordform मुलींपैकी, af: ['मुलगी', 'n', 'f', 'sg', '', 'o', 'च्या', 'ं_च्या']
Suffix ्या not at position 3, 6, of wordform मूर्तींमध्ये, af: ['मूर्ती', 'n', 'f', 'pl', '', 'd', 'मध्ये', '्या_ं_मध्ये']
Suffix ्या not at position 3, 6, of wordform मूर्ती, af: ['मूर्ती', 'n', 'f', 'pl', '', 'd', '', '्या']
Suffix ं not at position 5, 6, of wordform मूर्ती, af: ['मूर्ती', 'n', 'f', 'pl', '', 'o', 'ं', '्या_ं']
Suffix ्या not at position 3, 6, of wordform मूर्ती, af: ['मूर्ती', 'n', 'f', 'pl', '', 'o', 'ं', '्या_ं']
Suffix ्या not at position 3, 6, of wordform मूर्तीसुद्धा, af: ['मूर्ती', 'n', 'f', 'pl', '', 'd', '', '्या_सुद्धा']
Suffix चे not at position 6, 8, of wordform मूळाच्या, af: ['मूळ', 'n', 'n', 'sg', '', 'o', 'चे', 'ा_चे']
Suffix ाःचा not at position 3, 7, of wordform मैदनाचा, af: ['मैदान', 'n', 'n', 'sg', '', 'o', 'चा', 'ाःचा']
Suffix ्या not at position 1, 4, of wordform मोठी, af: ['मोठा', 'adj', 'm', '', '', 'o', '', '्या']
Suffix च्या not at position 9, 13, of wordform मोहनच्याखेरीज, af: ['मोहन', 'n', 'm', 'sg', '', 'o', 'च्या', 'च्या']
Suffix च्या not at position 10, 14, of wordform मोहनच्याद्वारा, af: ['मोहन', 'n', 'm', 'sg', '', 'o', 'च्या', 'च्या']
Suffix च्या not at position 9, 13, of wordform मोहनच्याशिवाय, af: ['मोहन', 'n', 'm', 'sg', '', 'o', 'च्या', 'च्या']
Suffix 3 not at position 6, 7, of wordform म्हणतात, af: ['h', 'ak', 'pre', 'म्हण', 'v', 'm', 'pl', '3']
Suffix 3 not at position 5, 6, of wordform म्हणतो, af: ['h', 'pre', 'ak', 'म्हण', 'v', 'm', 'sg', '3']
Suffix imp not at position -1, 2, of wordform या, af: ['ये', 'v', 'm', 'sg', '2', 'o', 'ा', 'imp']
Suffix ुं not at position 8, 10, of wordform यात्रेकरूंचे, af: ['यात्रेकरु', 'n', 'n', 'pl', '', 'o', 'चे', 'ुं_चे']
Suffix kr not at position 6, 8, of wordform येणाऱ्या, af: ['ये', 'v', '', '', '', 'o', 'ा_ऱ्या', 'kr']
Suffix tn not at position 6, 8, of wordform येणाऱ्या, af: ['ये', 'v', 'f', 'pl', '', 'o', 'णाऱ्या', 'tn']
Suffix 3 not at position 4, 5, of wordform येतात, af: ['h', 'ak', 'pre', 'ये', 'v', 'm', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform येतात, af: ['h', 'ak', 'pre', 'ये', 'v', 'm', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform येतात, af: ['h', 'ak', 'pre', 'ये', 'v', 'n', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform येतात, af: ['pre', 'ak', 'h', 'ये', 'v', 'f', 'pl', '3']
Suffix 3 not at position 3, 4, of wordform येते, af: ['h', 'ak', 'pre', 'ये', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform येते, af: ['h', 'ak', 'pre', 'ये', 'v', 'n', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform येतो, af: ['h', 'ak', 'pre', 'ये', 'v', 'm', 'sg', '3']
Suffix 3 not at position 6, 7, of wordform रंगविले, af: ['p', 'pas', 'ak', 'रंगव', 'v', 'n', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform रंगीत, af: ['h', 'ak', 'pas', 'रंग', 'v', 'm', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform रंगीत, af: ['h', 'ak', 'pas', 'रंग', 'v', 'm', 'pl', '3']
Suffix pas not at position 1, 4, of wordform रचला, af: ['रच', 'v', 'm', 'sg', '3', 'o', 'ला', 'pas']
Suffix याच्या not at position 8, 14, of wordform रस्त्याच्यामधे, af: ['रस्ता', 'n', 'm', 'sg', '', 'o', 'याच्या', 'याच्या']
Suffix ावरुन not at position 6, 11, of wordform रस्त्यावरून, af: ['रस्ता', 'n', 'm', 'sg', '', 'o', '', 'ावरुन']
Suffix d not at position 8, 9, of wordform रागावलेला, af: ['l_kr', 'kr', 'रागाव', 'v', 'm', 'sg', '', 'd']
Suffix च्यां not at position 12, 17, of wordform राजगोपालाचारीच्या, af: ['राजगोपालाचारी', 'n', 'm', 'sg', '', 'o', 'च्यां', 'च्यां']
Suffix tn not at position 7, 9, of wordform राहणाऱ्या, af: ['राह', 'v', '', '', '', 'o', 'णाऱ्या', 'tn']
Suffix kr not at position 7, 9, of wordform राहणाऱ्या, af: ['राहण', 'v', '', 'sg', '', 'o', 'ाऱ्या', 'kr']
Suffix d not at position 4, 5, of wordform राहणे, af: ['n_kr', 'kr', 'राह', 'v', 'n', 'sg', '', 'd']
Suffix 3 not at position 5, 6, of wordform राहतात, af: ['h', 'pre', 'ak', 'राह', 'v', 'n', 'pl', '3']
Suffix 3 not at position 5, 6, of wordform राहतात, af: ['h', 'ak', 'pre', 'राह', 'v', 'm', 'pl', '3']
Suffix 3 not at position 5, 6, of wordform राहतात, af: ['pre', 'ak', 'h', 'राह', 'v', 'f', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform राहते, af: ['h', 'ak', 'pre', 'राह', 'v', 'n', 'sg', '3']
Suffix ली not at position 4, 6, of wordform राहिला, af: ['राह', 'v', 'f', 'sg', '3', '', 'ली', 'ली']
Suffix च्या not at position 10, 14, of wordform राहुलच्याबरोबर, af: ['राहुल', 'n', 'm', 'sg', '', 'o', 'च्या', 'च्या']
Suffix च्या not at position 10, 14, of wordform राहुलच्याशिवाय, af: ['राहुल', 'n', 'm', 'sg', '', 'o', 'च्या', 'च्या']
Suffix चा not at position 9, 11, of wordform लक्षद्वीपची, af: ['लक्षद्वीप', 'n', 'n', 'sg', '', 'o', 'चा', 'चा']
Suffix सहित not at position 0, 4, of wordform लांब, af: ['मूठ', 'n', 'f', 'sg', '', 'o', 'सहित', 'ी_सहित']
Suffix ी not at position 3, 4, of wordform लांब, af: ['मूठ', 'n', 'f', 'sg', '', 'o', 'सहित', 'ी_सहित']
Suffix ों not at position 2, 4, of wordform लाखो, af: ['लाख', 'adj', '', '', '', 'o', 'ों', 'ों']
Suffix 3 not at position 5, 6, of wordform लागतात, af: ['pre', 'ak', 'h', 'लाग', 'v', 'n', 'pl', '3']
Suffix 3 not at position 5, 6, of wordform लागतात, af: ['h', 'ak', 'pre', 'लाग', 'v', 'n', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform लागते, af: ['h', 'ak', 'pre', 'लाग', 'v', 'n', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform लागली, af: ['p', 'ak', 'pas', 'लाग', 'v', 'f', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform लागली, af: ['p', 'pas', 'ak', 'लाग', 'v', 'f', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform लागले, af: ['p', 'ak', 'pas', 'लाग', 'v', 'n', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform लागले, af: ['p', 'pas', 'ak', 'लाग', 'v', 'm', 'pl', '3']
Suffix tn not at position 7, 9, of wordform लावणाऱ्या, af: ['लाव', 'v', '', '', '', 'o', 'णाऱ्या', 'tn']
Suffix d not at position 6, 7, of wordform लावलेला, af: ['l_kr', 'kr', 'लाव', 'v', 'm', 'sg', '', 'd']
Suffix लtype not at position 0, 5, of wordform लिहिल, af: ['लिहि', 'v', 'm', 'sg', '', 'o', 'ल', 'लtype']
Suffix िल not at position 5, 7, of wordform लिहिलेल, af: ['लिह', 'v', '', '', '', '', 'ल', 'िल']
Suffix kr not at position 5, 7, of wordform लुटताना, af: ['लुट', 'v', '', 'sg', '', 'o', 'ताना', 'kr']
Suffix o not at position 8, 9, of wordform लोळण्याचा, af: ['n_kr', 'kr', 'लोळ', 'v', 'n', 'sg', '', 'o']
Suffix 3 not at position 4, 5, of wordform लोळते, af: ['h', 'ak', 'pre', 'लोळ', 'v', 'n', 'sg', '3']
Suffix ्यांःच्या not at position 4, 13, of wordform वक्‍त्यांच्या, af: ['वक्ता', 'n', 'm', 'pl', '', 'o', 'च्या', '्यांःच्या']
Suffix े not at position 5, 6, of wordform वर्षांपूर्वी, af: ['वर्ष', 'n', 'n', 'pl', '', 'o', 'पूर्वी', 'े_पूर्वी']
Suffix ांपुर्वी not at position 4, 12, of wordform वर्षांपूर्वी, af: ['वर्ष', 'n', 'n', 'pl', '3', '', 'ांपुर्वी', 'ांपुर्वी']
Suffix 3 not at position 3, 4, of wordform वळतो, af: ['h', 'ak', 'pre', 'वळ', 'v', 'm', 'sg', '3']
Suffix ी not at position 2, 3, of wordform वळवाच्या, af: ['वळीव', 'n', 'm', 'sg', '', 'o', 'ाच्या', 'ी_ा_च्या']
Suffix ही not at position 3, 5, of wordform वस्तू, af: ['वस्तू', 'n', 'f', 'pl', '', 'd', 'ही', 'ही']
Suffix 3 not at position 5, 6, of wordform वाकतात, af: ['h', 'ak', 'pre', 'वाक', 'v', 'n', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform वाकतो, af: ['pre', 'ak', 'h', 'वाक', 'v', 'm', 'sg', '3']
Suffix ून not at position 9, 11, of wordform वाचूनसुद्धा, af: ['kr', 'वाच', 'v', '', '', '', '', 'ून']
Suffix ून not at position 5, 7, of wordform वाचूनही, af: ['kr', 'वाच', 'v', '', '', '', '', 'ून']
Suffix kr not at position 9, 11, of wordform वाजविणाऱ्या, af: ['वाज', 'v', '', 'sg', '', 'o', 'णाऱ्या', 'kr']
Suffix 3 not at position 4, 5, of wordform वाटतं, af: ['p', 'pas', 'c', 'वाट', 'v', 'n', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform वाटते, af: ['h', 'ak', 'pre', 'वाट', 'v', 'n', 'sg', '3']
Suffix pas not at position 1, 4, of wordform वाटल, af: ['वाट', 'v', '', 'sg', '3', 'o', 'ल', 'pas']
Suffix 3 not at position 5, 6, of wordform वाढतात, af: ['h', 'ak', 'pre', 'वाढ', 'v', 'm', 'pl', '3']
Suffix 3 not at position 5, 6, of wordform वाढतात, af: ['pre', 'ak', 'h', 'वाढ', 'v', 'f', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform वाढती, af: ['ak', 'p', 'pas', 'वाढ', 'v', 'f', 'sg', '3']
Suffix sg not at position 3, 5, of wordform वाढते, af: ['c', 'pas', 'ak', 'p', 'वाढ', 'v', 'n', 'sg']
Suffix 3 not at position 4, 5, of wordform वाढते, af: ['h', 'ak', 'pre', 'वाढ', 'v', 'f', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform वाढते, af: ['h', 'ak', 'pre', 'वाढ', 'v', 'n', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform वाढते, af: ['h', 'ak', 'pre', 'वाढ', 'v', 'n', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform वाढते, af: ['pre', 'ak', 'h', 'वाढ', 'v', 'n', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform वाढते, af: ['h', 'ak', 'pre', 'वाढ', 'v', 'f', 'sg', '3']
